Zeit,PV(W),SOC(%),Batterie(W),Zähler(W),Last(W)
2023-01-01 00:00:00,0.0,74,254.88,10,244.88
2023-01-01 00:05:00,0.0,74,382.32,80,302.32
2023-01-01 00:10:00,0.0,74,318.5,24,294.5
2023-01-01 00:15:00,0.0,74,318.4,10,308.4
2023-01-01 00:20:00,0.0,74,254.72,-37,291.72
2023-01-01 00:25:00,0.0,74,318.4,19,299.4
2023-01-01 00:30:00,0.0,74,318.4,6,312.4
2023-01-01 00:35:00,0.0,73,286.47,-20,306.47
2023-01-01 00:40:00,0.0,73,318.3,-26,344.3
2023-01-01 00:45:00,0.0,73,318.3,15,303.3
2023-01-01 00:50:00,0.0,73,318.2,-20,338.2
2023-01-01 00:55:00,0.0,72,318.2,25,293.2
2023-01-01 01:00:00,0.0,72,318.2,21,297.2
2023-01-01 01:05:00,0.0,72,286.38,-22,308.38
2023-01-01 01:10:00,0.0,72,286.47,16,270.47
2023-01-01 01:15:00,0.0,72,286.47,52,234.47
2023-01-01 01:20:00,0.0,72,286.47,27,259.47
2023-01-01 01:25:00,0.0,72,286.47,12,274.47
2023-01-01 01:30:00,0.0,72,286.38,10,276.38
2023-01-01 01:35:00,0.0,71,286.38,9,277.38
2023-01-01 01:40:00,0.0,71,286.38,8,278.38
2023-01-01 01:45:00,0.0,71,254.56,-23,277.56
2023-01-01 01:50:00,0.0,71,254.56,-18,272.56
2023-01-01 01:55:00,0.0,71,286.29,-15,301.29
2023-01-01 02:00:00,0.0,71,286.29,-6,292.29
2023-01-01 02:05:00,0.0,70,286.2,24,262.2
2023-01-01 02:10:00,0.0,70,286.2,-13,299.2
2023-01-01 02:15:00,0.0,70,349.36,-14,363.36
2023-01-01 02:20:00,0.0,70,381.0,24,357.0
2023-01-01 02:25:00,0.0,70,380.88,25,355.88
2023-01-01 02:30:00,0.0,70,380.76,31,349.76
2023-01-01 02:35:00,0.0,69,380.64,16,364.64
2023-01-01 02:40:00,0.0,69,317.1,-21,338.1
2023-01-01 02:45:00,0.0,69,348.7,7,341.7
2023-01-01 02:50:00,0.0,69,348.59,22,326.59
2023-01-01 02:55:00,0.0,68,348.59,17,331.59
2023-01-01 03:00:00,0.0,68,348.48,20,328.48
2023-01-01 03:05:00,0.0,68,348.37,-17,365.37
2023-01-01 03:10:00,0.0,68,348.15,-22,370.15
2023-01-01 03:15:00,0.0,67,348.04,19,329.04
2023-01-01 03:20:00,0.0,67,347.93,-22,369.93
2023-01-01 03:25:00,0.0,67,347.82,-10,357.82
2023-01-01 03:30:00,0.0,67,347.71,-10,357.71
2023-01-01 03:35:00,0.0,67,316.0,-23,339.0
2023-01-01 03:40:00,0.0,66,347.38,13,334.38
2023-01-01 03:45:00,0.0,66,347.38,20,327.38
2023-01-01 03:50:00,0.0,66,347.27,-6,353.27
2023-01-01 03:55:00,0.0,66,284.22,-20,304.22
2023-01-01 04:00:00,0.0,65,284.22,-20,304.22
2023-01-01 04:05:00,0.0,65,284.22,-10,294.22
2023-01-01 04:10:00,0.0,65,284.22,-16,300.22
2023-01-01 04:15:00,0.0,65,284.13,21,263.13
2023-01-01 04:20:00,0.0,65,284.13,12,272.13
2023-01-01 04:25:00,0.0,65,284.13,-19,303.13
2023-01-01 04:30:00,0.0,65,315.6,29,286.6
2023-01-01 04:35:00,0.0,65,315.5,11,304.5
2023-01-01 04:40:00,0.0,65,283.95,-13,296.95
2023-01-01 04:45:00,0.0,64,283.95,16,267.95
2023-01-01 04:50:00,0.0,64,315.5,15,300.5
2023-01-01 04:55:00,0.0,64,283.86,22,261.86
2023-01-01 05:00:00,0.0,64,283.86,-11,294.86
2023-01-01 05:05:00,0.0,64,283.86,-13,296.86
2023-01-01 05:10:00,0.0,64,252.32,6,246.32
2023-01-01 05:15:00,0.0,64,252.32,-9,261.32
2023-01-01 05:20:00,0.0,64,220.78,-10,230.78
2023-01-01 05:25:00,0.0,64,220.85,-15,235.85
2023-01-01 05:30:00,0.0,64,220.85,-14,234.85
2023-01-01 05:35:00,0.0,64,189.36,6,183.36
2023-01-01 05:40:00,0.0,64,220.92,-9,229.92
2023-01-01 05:45:00,0.0,64,252.4,11,241.4
2023-01-01 05:50:00,0.0,64,157.8,-19,176.8
2023-01-01 05:55:00,0.0,64,94.77,71,23.77
2023-01-01 06:00:00,0.0,64,94.83,101,0.0
2023-01-01 06:05:00,50.13,64,126.48,185,0.0
2023-01-01 06:10:00,149.21,64,126.48,260,15.69
2023-01-01 06:15:00,137.45,64,94.86,235,0.0
2023-01-01 06:20:00,50.1,64,126.48,128,48.58
2023-01-01 06:25:00,48.04,64,94.86,106,36.9
2023-01-01 06:30:00,50.11,64,94.89,49,96.0
2023-01-01 06:35:00,50.53,64,126.52,179,0.0
2023-01-01 06:40:00,50.06,64,94.89,130,14.95
2023-01-01 06:45:00,148.15,64,94.89,200,43.04
2023-01-01 06:50:00,136.83,64,94.89,182,49.72
2023-01-01 06:55:00,0.0,64,94.89,40,54.89
2023-01-01 07:00:00,50.06,64,94.89,159,0.0
2023-01-01 07:05:00,201.18,63,-126.76,-14,88.42
2023-01-01 07:10:00,291.3,63,-254.32,8,28.98
2023-01-01 07:15:00,397.68,63,-254.48,0,143.2
2023-01-01 07:20:00,204.32,64,95.37,187,112.69
2023-01-01 07:25:00,196.9,63,93.39,242,48.29
2023-01-01 07:30:00,396.96,63,-347.93,9,40.03
2023-01-01 07:35:00,616.72,63,-539.24,10,67.48
2023-01-01 07:40:00,406.48,63,-317.9,31,57.58
2023-01-01 07:45:00,145.87,63,95.28,191,50.15
2023-01-01 07:50:00,246.13,63,63.46,67,242.59
2023-01-01 07:55:00,361.46,63,-286.65,0,74.81
2023-01-01 08:00:00,253.27,63,-255.04,0,0.0
2023-01-01 08:05:00,350.94,64,-255.28,-7,102.66
2023-01-01 08:10:00,246.99,64,-191.52,4,51.47
2023-01-01 08:15:00,312.22,64,-287.64,-1,25.58
2023-01-01 08:20:00,459.17,65,-448.56,6,4.61
2023-01-01 08:25:00,509.25,65,-512.96,0,0.0
2023-01-01 08:30:00,460.59,65,-449.4,-5,16.19
2023-01-01 08:35:00,410.4,66,-385.2,-2,27.2
2023-01-01 08:40:00,438.91,66,-449.82,-12,1.09
2023-01-01 08:45:00,420.92,67,-482.55,9,0.0
2023-01-01 08:50:00,595.79,67,-611.8,15,0.0
2023-01-01 08:55:00,791.76,68,-743.13,-8,56.63
2023-01-01 09:00:00,707.21,68,-775.44,-14,0.0
2023-01-01 09:05:00,721.98,68,-711.04,10,0.94
2023-01-01 09:10:00,1175.02,69,-1265.94,2,0.0
2023-01-01 09:15:00,1172.71,70,-1233.1,9,0.0
2023-01-01 09:20:00,1653.86,72,-1756.62,-34,0.0
2023-01-01 09:25:00,2425.35,74,-2511.74,-10,0.0
2023-01-01 09:30:00,2619.25,74,-2709.95,-2,0.0
2023-01-01 09:35:00,1946.53,76,-2018.1,-1,0.0
2023-01-01 09:40:00,2426.96,79,-2413.14,-22,35.82
2023-01-01 09:45:00,2712.05,81,-2776.95,-43,0.0
2023-01-01 09:50:00,2741.71,81,-2678.94,-2,64.77
2023-01-01 09:55:00,2677.01,83,-2482.16,0,194.85
2023-01-01 10:00:00,2298.12,85,-2218.84,31,48.28
2023-01-01 10:05:00,1912.71,87,-1693.64,9,210.07
2023-01-01 10:10:00,1647.84,88,-1398.79,-1,250.05
2023-01-01 10:15:00,2153.13,89,-1959.0,-40,234.13
2023-01-01 10:20:00,1672.48,90,-1138.55,9,524.93
2023-01-01 10:25:00,1659.04,92,-1205.46,-12,465.58
2023-01-01 10:30:00,2580.72,93,-2135.25,34,411.47
2023-01-01 10:35:00,2739.88,94,-2270.1,-4,473.78
2023-01-01 10:40:00,1533.47,99,-1110.78,18,404.69
2023-01-01 10:45:00,1313.8,99,-782.64,-1,532.16
2023-01-01 10:50:00,1076.02,99,-586.08,8,481.94
2023-01-01 10:55:00,950.89,99,-422.89,-3,531.0
2023-01-01 11:00:00,1197.12,99,-653.4,-15,558.72
2023-01-01 11:05:00,2111.4,99,-1597.92,0,513.48
2023-01-01 11:10:00,1894.33,100,129.72,1582,442.05
2023-01-01 11:15:00,1868.22,100,128.84,1547,450.06
2023-01-01 11:20:00,1629.18,100,128.6,1323,434.78
2023-01-01 11:25:00,1559.1,100,128.52,1254,433.62
2023-01-01 11:30:00,1901.52,100,128.44,1608,421.96
2023-01-01 11:35:00,1956.43,100,128.4,1748,336.83
2023-01-01 11:40:00,2938.41,100,96.27,2700,334.68
2023-01-01 11:45:00,4473.1,100,128.36,4295,306.46
2023-01-01 11:50:00,6738.66,100,128.32,6593,273.98
2023-01-01 11:55:00,6501.33,100,96.24,6343,254.57
2023-01-01 12:00:00,3518.79,100,128.32,3266,381.11
2023-01-01 12:05:00,2627.26,100,96.21,2339,384.47
2023-01-01 12:10:00,2244.37,100,128.28,1964,408.65
2023-01-01 12:15:00,1510.36,100,128.28,1235,403.64
2023-01-01 12:20:00,1482.46,100,96.21,1229,349.67
2023-01-01 12:25:00,1929.77,100,96.18,1757,268.95
2023-01-01 12:30:00,1872.39,100,96.18,1681,287.57
2023-01-01 12:35:00,2052.63,100,96.18,1851,297.81
2023-01-01 12:40:00,2223.69,100,96.18,2033,286.87
2023-01-01 12:45:00,1615.34,100,64.12,1429,250.46
2023-01-01 12:50:00,1152.47,100,96.15,987,261.62
2023-01-01 12:55:00,1490.58,100,128.2,1255,363.78
2023-01-01 13:00:00,1904.76,100,96.15,1676,324.91
2023-01-01 13:05:00,1965.73,100,96.15,1761,300.88
2023-01-01 13:10:00,1976.57,100,96.15,1777,295.72
2023-01-01 13:15:00,2213.86,100,96.15,2043,267.01
2023-01-01 13:20:00,1846.73,100,96.15,1686,256.88
2023-01-01 13:25:00,2287.28,100,96.15,2085,298.43
2023-01-01 13:30:00,3620.88,100,96.15,3486,231.03
2023-01-01 13:35:00,5182.73,100,96.15,4966,312.88
2023-01-01 13:40:00,4203.85,100,96.12,4068,231.97
2023-01-01 13:45:00,4234.57,100,96.12,3944,386.69
2023-01-01 13:50:00,8982.42,100,96.12,8827,251.54
2023-01-01 13:55:00,13148.94,100,96.12,12540,705.06
2023-01-01 14:00:00,5906.91,100,96.12,5570,433.03
2023-01-01 14:05:00,4917.14,100,128.16,4545,500.3
2023-01-01 14:10:00,6028.26,100,128.16,5753,403.42
2023-01-01 14:15:00,6527.43,100,96.12,6261,362.55
2023-01-01 14:20:00,6532.48,100,128.16,6269,391.64
2023-01-01 14:25:00,4181.6,100,128.16,3919,390.76
2023-01-01 14:30:00,3081.38,100,128.16,2826,383.54
2023-01-01 14:35:00,3413.72,100,128.16,3171,370.88
2023-01-01 14:40:00,3997.65,100,128.16,3686,439.81
2023-01-01 14:45:00,7520.32,100,96.12,7196,420.44
2023-01-01 14:50:00,12924.68,100,96.09,12157,863.77
2023-01-01 14:55:00,6982.0,100,128.12,5392,1718.12
2023-01-01 15:00:00,2817.11,100,128.12,2307,638.23
2023-01-01 15:05:00,2740.36,100,128.12,2236,632.48
2023-01-01 15:10:00,9389.32,100,96.09,8816,669.41
2023-01-01 15:15:00,11854.12,100,128.12,11242,740.24
2023-01-01 15:20:00,6970.02,100,128.12,6598,500.14
2023-01-01 15:25:00,4692.95,100,128.12,4257,564.07
2023-01-01 15:30:00,6318.23,100,96.09,5550,864.32
2023-01-01 15:35:00,2925.39,100,96.09,2511,510.48
2023-01-01 15:40:00,2866.64,100,96.09,2411,551.73
2023-01-01 15:45:00,1801.85,100,128.12,1364,565.97
2023-01-01 15:50:00,979.28,100,128.12,547,560.4
2023-01-01 15:55:00,1277.9,100,96.09,809,564.99
2023-01-01 16:00:00,1656.39,100,64.06,1291,429.45
2023-01-01 16:05:00,3284.48,100,96.09,2932,448.57
2023-01-01 16:10:00,10602.98,100,96.09,10966,0.0
2023-01-01 16:15:00,10664.74,100,96.09,10145,615.83
2023-01-01 16:20:00,9980.57,100,64.06,9427,617.63
2023-01-01 16:25:00,1815.12,100,96.09,1438,473.21
2023-01-01 16:30:00,1941.99,100,96.09,1479,559.08
2023-01-01 16:35:00,1398.87,100,96.09,983,511.96
2023-01-01 16:40:00,1667.84,100,64.06,1204,527.9
2023-01-01 16:45:00,1573.95,100,96.09,1132,538.04
2023-01-01 16:50:00,1771.68,100,96.09,1422,445.77
2023-01-01 16:55:00,2564.16,100,96.09,2158,502.25
2023-01-01 17:00:00,2906.4,100,96.09,2577,425.49
